"Year","Pts","Attendance","Players.Used","Age","Poss","PK","PKatt","CrdY","CrdR","SoTA","Saves","Save_Pct","CS","CS_Pct","PKatt_A","Sh","SoT","SoT_Pct","Sh_Per_90","SoT_Per_90","G_Per_Sht","G_Per_SoT","Dist","PK_A","Squad.Year","PKsv","PKm","Squad"
2018,98,54130,21,26.7,67.8,3,4,44,1,78,59,75.6,20,52.6,4,678,253,37.3,17.84,6.66,0.13,0.35,16.4,3,"Manchester City 2018",0,0,"Manchester City"
2019,81,37097,24,26.9,66.9,6,11,64,4,107,73,70.1,17,44.7,3,730,246,33.7,19.21,6.47,0.13,0.38,15.8,6,"Manchester City 2019",0,0,"Manchester City"
2020,86,526,24,26.1,63.9,5,9,46,2,89,65,73,19,50,10,590,213,36.1,15.53,5.61,0.13,0.36,16.6,5,"Manchester City 2020",2,0,"Manchester City"
2021,93,52774,26,27,68.5,7,9,42,1,85,58,70.6,21,55.3,1,704,239,33.9,18.53,6.29,0.13,0.37,15.7,7,"Manchester City 2021",0,0,"Manchester City"
2013,64,75207,30,26.7,NA,5,5,0,0,143,100,69.9,13,34.2,5,NA,234,NA,NA,6.16,NA,0.25,NA,5,"Manchester Utd 2013",NA,NA,"Manchester Utd"
2017,81,74976,27,26.7,54.8,1,3,NA,NA,143,117,81.1,19,50,1,513,176,34.3,13.5,4.63,0.13,0.38,17.6,1,"Manchester Utd 2017",0,0,"Manchester Utd"
2018,66,74498,28,26.3,54.5,9,12,75,4,170,125,71.8,7,18.4,6,516,210,40.7,13.58,5.53,0.11,0.27,18.1,9,"Manchester Utd 2018",0,0,"Manchester Utd"
2019,66,57415,29,24.8,56.2,10,14,73,0,125,92,73.6,13,34.2,3,528,200,37.9,13.89,5.26,0.1,0.28,18.5,10,"Manchester Utd 2019",0,0,"Manchester Utd"
2020,74,526,29,25.6,55.8,10,11,64,1,135,96,70.4,13,34.2,4,517,197,38.1,13.61,5.18,0.12,0.3,17.3,10,"Manchester Utd 2020",0,0,"Manchester Utd"
2021,58,73150,29,27.2,52.9,3,5,77,2,177,124,69.5,8,21.1,6,505,179,35.4,13.29,4.71,0.1,0.3,17.1,3,"Manchester Utd 2021",3,0,"Manchester Utd"
